Date,Headline,Link
2023-12-07,Desperate families of Israeli-American hostages plead with White House to get creative for loved ones’ release,https://www.cnn.com/2023/12/07/politics/families-israeli-american-hostages-white-house/index.html
2023-12-07,Opinion: I reported on Hamas in Gaza for over a decade. Here are the questions I’m asking myself now,https://www.cnn.com/2023/12/07/opinions/israel-hamas-gaza-media-press-prusher/index.html
2023-12-07,Meta’s Oversight Board to weigh in on company’s handling of Israel-Hamas war content,https://www.cnn.com/2023/12/07/tech/meta-oversight-board-israel-hamas-content/index.html
2023-12-07,"December 5, 2023 Israel-Hamas war",https://www.cnn.com/middleeast/live-news/israel-hamas-war-gaza-news-12-05-23/index.html
2023-12-07,"December 6, 2023 Israel-Hamas war",https://www.cnn.com/middleeast/live-news/israel-hamas-war-gaza-news-12-06-23/index.html
2023-12-07,Amnesty investigation claims US-made weapon used in two Israeli airstrikes in Gaza that killed 43 civilians,https://www.cnn.com/2023/12/06/middleeast/amnesty-report-us-weapons-gaza-strikes-intl/index.html
2023-12-07,Exclusive: Blinken says Israel is taking important steps to better protect civilians in southern Gaza,https://www.cnn.com/2023/12/06/politics/blinken-king-charles-cnn-interview/index.html
2023-12-06,Calls for ‘balance’ blunt the horrific human toll of rape and destruction in Israel-Hamas war,https://www.cnn.com/2023/12/06/politics/human-toll-israel-hamas-war-analysis/index.html
2023-12-06,Israel military says 2 civilians killed for every Hamas militant is a ‘tremendously positive’ ratio given combat challenges,https://www.cnn.com/2023/12/05/middleeast/israel-hamas-military-civilian-ratio-killed-intl-hnk/index.html
2023-12-06,Jayapal issues new statement that she ‘unequivocally condemns Hamas’ use of rape and sexual violence as an act of war’,https://www.cnn.com/2023/12/05/politics/pramila-jayapal-statement/index.html
2023-12-06,Biden decries Hamas sexual assaults and says they must be forcefully condemned,https://www.cnn.com/2023/12/05/politics/biden-condemns-hamas-sexual-assaults-democrats/index.html
2023-12-06,Opinion: Celebrities speaking out on the war in Gaza should consider this,https://www.cnn.com/2023/12/05/opinions/susan-sarandon-julianna-margulies-israel-hamas-filipovic/index.html
2023-12-05,US officials think Gaza ground operation could end by January as Biden admin privately warns Israel about its tactics,https://www.cnn.com/2023/12/05/politics/israel-ground-operation-us-warnings/index.html
2023-12-05,"Israeli regulator says no suspicious trading before October 7, but questions remain on US-traded securities",https://www.cnn.com/2023/12/05/business/israeli-regulators-unusual-trading-october-7/index.html
2023-12-05,Israel expands war into southern Gaza as UN warns of ‘blatant disregard for basic humanity’,https://www.cnn.com/2023/12/05/middleeast/un-warnings-gaza-israel-hamas-intl/index.html
2023-12-05,"‘It’s chaos:’ Starving Gazans dig for food, supplies under the rubble",https://www.cnn.com/2023/12/05/middleeast/gaza-bakery-hunger-israel-hamas-war-intl/index.html
2023-12-05,"December 4, 2023 Israel-Hamas war",https://www.cnn.com/middleeast/live-news/israel-hamas-war-12-4-2023/index.html
2023-12-05,Backlash grows over police shooting of Israeli civilian after Jerusalem attack,https://www.cnn.com/2023/12/04/middleeast/castleman-israel-jerusalem-hamas-shot-backlash-intl/index.html
2023-12-05,"Unknown traders appear to have anticipated October 7 Hamas attack, research finds",https://www.cnn.com/2023/12/04/business/some-traders-appear-to-have-anticipated-october-7-hamas-attack-research-finds/index.html
2023-12-05,Democrats working on resolution condemning Hamas’ use of sexual violence,https://www.cnn.com/2023/12/04/politics/progressive-democrats-resolution-condemning-hamas/index.html
2023-12-04,Sheryl Sandberg on Hamas attack: Rape should never be used as an act of war,https://www.cnn.com/2023/12/04/tech/sheryl-sandberg-un-israel-hamas/index.html
2023-12-04,White House and Pennsylvania governor condemn ‘antisemitic’ rally in front of Israeli-style restaurant in Philadelphia,https://www.cnn.com/2023/12/04/us/palestinian-protest-philadelphia-solomonov/index.html
2023-12-04,CNN Gaza reporter’s relatives killed and childhood home destroyed in two separate strikes,https://www.cnn.com/2023/12/04/middleeast/gaza-cnn-producer-family-home-israel-airstrike-intl-hnk/index.html
2023-12-04,"In Gaza, disease could be even deadlier than airstrikes, WHO says",https://www.cnn.com/2023/12/04/health/gaza-illness-disease/index.html
2023-12-04,"December 3, 2023 Israel-Hamas war",https://www.cnn.com/middleeast/live-news/israel-hamas-war-gaza-news-12-3-23/index.html
2023-12-03,Rep. Pramila Jayapal stands by call for ceasefire in Gaza as fighting resumes,https://www.cnn.com/2023/12/03/politics/rep-pramila-jayapal-argues-ceasefire-in-gaza-is-realistic-as-fighting-resumes/index.html
2023-12-03,"When Gaza lost phone and internet connection under Israeli attack, this activist found a way to get Palestinians back online",https://www.cnn.com/2023/12/03/middleeast/gaza-palestinians-blackouts-power-airstrikes/index.html
2023-12-03,"December 1, 2023 Israel-Hamas war",https://www.cnn.com/middleeast/live-news/israel-hamas-war-gaza-news-12-1-23/index.html
2023-12-03,"December 2, 2023 Israel-Hamas war",https://www.cnn.com/middleeast/live-news/israel-hamas-war-gaza-news-12-2-23/index.html
2023-12-03,Why Israel’s peace activists are re-evaluating their position on the war,https://www.cnn.com/2023/12/03/middleeast/israel-peace-activists-reevaluate-war-hamas-gaza-intl/index.html
2023-12-03,Israel recalls negotiators after reaching ‘dead end’ in Qatar talks,https://www.cnn.com/2023/12/02/middleeast/israel-hamas-qatar-talks-intl/index.html
2023-12-02,Harris says US will ‘under no circumstances’ permit forced relocation of Palestinians,https://www.cnn.com/2023/12/02/politics/harris-cop28-israel-gaza/index.html
2023-12-02,No-shows and walkouts as Israel-Hamas war looms over crucial climate talks,https://www.cnn.com/2023/12/02/climate/cop28-israel-hamas-war-talks-climate-intl/index.html
2023-12-06,They just want to go to class: These college students are stuck in the middle as the Israel-Hamas conflict spills onto campus,https://www.cnn.com/2023/12/02/us/columbia-university-students-israel-hamas-war/index.html
2023-12-02,"Opinion: In Gaza, my 71-year-old mom watches over the rubble encasing her family",https://www.cnn.com/2023/12/02/opinions/gaza-family-killed-israeli-airstrike-almadhoun/index.html
2023-12-02,"Democrat denounces political intimidation and violence after home vandalized with call for ceasefire in Israel, Gaza",https://www.cnn.com/2023/12/01/politics/adam-smith-home-vandalized-ceasefire-gaza/index.html
2023-12-01,"Truce could be renewed if Hamas provides list of hostages for release, sources say",https://www.cnn.com/2023/12/01/middleeast/israel-resumes-combat-operations-hamas-truce-expires-intl-hnk/index.html
2023-12-01,What did Israel know about Hamas’ October 7 attack?,https://www.cnn.com/2023/12/01/middleeast/israel-hamas-gaza-intelligence-intl/index.html
2023-12-01,The Israel-Hamas truce is over. Here’s what could happen next,https://www.cnn.com/2023/12/01/middleeast/israel-hamas-truce-ends-what-next-mime-intl/index.html
2023-12-01,"Opinion: A perfectly reasonable, highly unrealistic path to peace",https://www.cnn.com/2023/12/01/opinions/israel-gaza-path-to-peace-ghitis/index.html
2023-12-01,‘We owe it to them’: Families of Israelis killed in war find new hope through sperm extraction,https://www.cnn.com/2023/12/01/middleeast/israeli-families-sperm-retrieval-intl-cmd/index.html
2023-12-01,Biden administration makes a significant move attempting to reshape Israel’s war on Hamas,https://www.cnn.com/2023/11/30/politics/biden-administration-israel-war-hamas/index.html
2023-12-01,"November 30, 2023 Israel-Hamas war",https://www.cnn.com/middleeast/live-news/israel-hamas-war-gaza-news-11-30-23/index.html
2023-12-01,Who are the hostages released so far in the Israel-Hamas deal?,https://www.cnn.com/2023/11/24/middleeast/who-are-the-hostages-released-on-friday-intl/index.html
2023-11-30,How the truce between Israel and Hamas was extended another day – and why it could end soon,https://www.cnn.com/2023/11/30/politics/israel-and-hamas-truce-extension/index.html
2023-11-30,Palestinian student knocked on a neighbor’s door to get help for his friends before realizing he had also been shot,https://www.cnn.com/2023/11/29/us/palestinian-student-kinnan-abdalhamid-shot-vermont/index.html
2023-11-30,University of California professors push back on UC president’s call for ‘viewpoint-neutral’ history of Middle East,https://www.cnn.com/2023/11/30/us/university-california-israel-gaza/index.html
2023-11-30,Wartime unity between the US and Israel will soon face its toughest test,https://www.cnn.com/2023/11/30/politics/us-israel-next-phase-war-hamas/index.html
2023-12-01,Hamas says its militants killed three people at Jerusalem bus stop,https://www.cnn.com/2023/11/30/middleeast/hamas-jerusalem-bus-stop-shooting-intl/index.html
2023-11-30,"November 29, 2023 Israel-Hamas war",https://www.cnn.com/middleeast/live-news/israel-hamas-war-gaza-news-11-29-23/index.html
2023-11-30,US pressing Israel to move civilians out of way if Israel attacks in southern Gaza,https://www.cnn.com/2023/11/29/politics/us-israel-civilians-southern-gaza/index.html
2023-11-29,US forces in Syria targeted in first attack since Thanksgiving,https://www.cnn.com/2023/11/29/politics/us-forces-syria-targeted/index.html
2023-11-30,American families speak out about Hamas’ ‘psychological warfare’ as they call for loved ones held hostage to be released,https://www.cnn.com/2023/11/29/politics/american-families-hostages-hamas-israel/index.html
2023-11-29,3 Palestinian college students were shot on a walk in Vermont – where their relatives thought they’d be safe,https://www.cnn.com/2023/11/29/us/palestinian-college-students-shot-vermont/index.html
2023-11-29,Israel assessing Hamas claim youngest hostage and family members are dead,https://www.cnn.com/2023/11/29/middleeast/kfir-babas-israel-hamas-gaza-intl/index.html
2023-11-29,Hate crimes explained: Could suspect who shot 3 Palestinian students be charged with a hate crime?,https://www.cnn.com/2023/11/29/us/hate-crime-explained-vermont-palestinian-shooting-reaj/index.html
2023-11-29,This 10-month old is among the children still held captive or missing in Gaza,https://www.cnn.com/2023/11/29/middleeast/kfir-shiri-ariel-bibas-israel-hostage-intl-hnk/index.html
2023-11-29,‘I kissed her but she wouldn’t wake up.’ Grandfather grieves for 3-year-old granddaughter killed as she slept in Gaza,https://www.cnn.com/2023/11/29/middleeast/gaza-truce-israel-grandfather-returns-home-intl-hnk/index.html
2023-11-29,"November 28, 2023 Israel-Hamas war",https://www.cnn.com/middleeast/live-news/israel-hamas-war-gaza-news-11-28-23/index.html
2023-11-29,"Medical workers ‘trapped’ in hospital and unable to reach wounded during Israeli operation in West Bank, MSF chief says",https://www.cnn.com/2023/11/28/middleeast/israeli-incursion-jenin-refugee-camp-msf-intl/index.html
2023-11-29,The keffiyeh explained: How this scarf became a Palestinian national symbol,https://www.cnn.com/2023/11/28/style/style-palestinian-keffiyeh-explained/index.html
2023-11-28,Students are lawyering up in the wake of the Israel-Hamas war,https://www.cnn.com/2023/11/28/business/students-lawsuits-israel-hamas-war/index.html
2023-11-28,CIA director returns to Qatar for hostage talks with Israeli and Egyptian counterparts,https://www.cnn.com/2023/11/28/politics/cia-director-qatar-meetings-israel-egypt/index.html
2023-11-28,"Teenage siblings freed from Hamas captivity, only to learn their mother had been murdered",https://www.cnn.com/2023/11/28/middleeast/alma-noam-or-siblings-hostage-hamas-intl-hnk/index.html
2023-11-29,Elon Musk visits destroyed kibbutz and meets Netanyahu in wake of antisemitic post,https://www.cnn.com/2023/11/27/tech/elon-musk-isaac-herzog-israel-meeting-intl-hnk/index.html
2023-11-28,US military to fly critical humanitarian aid to Egypt to be brought into Gaza,https://www.cnn.com/2023/11/28/politics/us-military-humanitarian-aid-gaza/index.html
2023-11-28,"November 27, 2023 Israel-Hamas war",https://www.cnn.com/middleeast/live-news/israel-hamas-war-gaza-news-11-27-23/index.html
2023-11-28,There will be no pause in Biden’s headache over the Israel-Hamas war,https://www.cnn.com/2023/11/28/politics/biden-israel-hamas-war-analysis/index.html
2023-11-28,1 of 3 Palestinian college students shot in Vermont released from hospital on same day suspect pleads not guilty,https://www.cnn.com/2023/11/26/us/palestinian-students-shot-vermont-investigation-monday/index.html
2023-11-28,First testimonies shed light on the conditions endured by Hamas’ Israeli hostages,https://www.cnn.com/2023/11/27/middleeast/israel-hamas-hostages-testimony-conditions-intl/index.html
2023-11-28,"Deal reached to extend Israel-Hamas truce by two days, Qatar says",https://www.cnn.com/2023/11/27/middleeast/israel-hamas-truce-extended-intl/index.html
2023-11-27,Israeli women and children have been freed by Hamas. But families of other hostages are in limbo,https://www.cnn.com/2023/11/27/middleeast/israel-gaza-hamas-hostages-deal-intl-cmd/index.html
