Date,Headline,Link
2022-04-23,"Why India can buy Russian oil, and still be friends with the US",https://www.cnn.com/2022/04/22/india/india-us-china-russia-relations-intl-hnk/index.html
2022-04-22,4 ways Russia is trying to prove it can live with sanctions,https://www.cnn.com/2022/04/22/business/russia-living-with-sanctions/index.html
2022-04-22,Russian tennis star Andrey Rublev says Wimbledon ban is ‘illogical’ and ‘discriminatory’,https://www.cnn.com/2022/04/22/tennis/andrey-rublev-wimbledon-russia-belarus-ban-spt-intl/index.html
2022-04-22,"Russian troops use rape as ‘an instrument of war’ in Ukraine, rights groups allege",https://www.cnn.com/2022/04/22/europe/ukraine-sexual-violence-allegations-russia-cmd-intl/index.html
2022-04-22,Some big Indian businesses are joining the exodus from Russia,https://www.cnn.com/2022/04/21/business/india-tata-steel-infosys-stops-russia-business-hnk-intl/index.html
2022-04-21,Putin rattles his ‘Satan II’ nuclear saber to hide Russian failures in Ukraine war: analysts,https://www.cnn.com/2022/04/21/europe/russia-icbm-explainer-intl-hnk-ml/index.html
2022-04-21,"Pushed back from Kyiv, what’s Russia’s military strategy now?",https://www.cnn.com/2022/04/20/europe/russia-ukraine-strategy-donbas-analysis-cmd-intl/index.html
2022-04-21,The head of Russia’s second biggest oil company has quit,https://www.cnn.com/2022/04/21/business/lukoil-ceo-alekperov-resigns/index.html
2022-04-21,Western pressure on Russia hasn’t stopped Putin’s latest provocations,https://www.cnn.com/2022/04/21/politics/us-putin-pressure-humanitarian-disaster-ukraine/index.html
2022-04-21,An abandoned Russian military camp in a forest near Kyiv reveals horrors of the invasion,https://www.cnn.com/2022/04/20/europe/russian-military-camp-ukraine-intl/index.html
2022-04-20,US unveils latest sanctions targeting Russia,https://www.cnn.com/2022/04/20/politics/us-russia-sanctions/index.html
2022-04-18,"April 17, 2022 Russia-Ukraine news",https://www.cnn.com/europe/live-news/ukraine-russia-putin-news-04-17-22/index.html
2022-04-18,Exclusive: Zelensky says Ukraine won’t give up territory in the east to end war with Russia,https://www.cnn.com/2022/04/17/politics/zelensky-russia-war-tapper-interview-cnntv/index.html
2022-04-18,"Injured, alone and destined for a Russian orphanage, a 12-year-old Ukrainian girl is recruited for Moscow’s information war",https://www.cnn.com/2022/04/17/europe/ukrainian-girl-russian-orphanage-intl-cmd/index.html
2022-04-16,‘We all realize that we will not be forgiven.’ Ukraine braces for new assault after sinking of Russian flagship,https://www.cnn.com/2022/04/16/europe/russia-ukraine-war-retaliation-intl/index.html
2022-04-15,Russia formally protests US weapons shipments to Ukraine,https://www.cnn.com/2022/04/15/politics/russia-us-diplomatic-note/index.html
2022-04-15,"If Russia wants to evade sanctions, it could learn from Iran’s playbook",https://www.cnn.com/2022/04/15/business/russia-sanctions-iran-playbook-04-15-2022-mime-intl/index.html
2022-04-15,"No short-term end in sight in Russia’s invasion of Ukraine, Western officials say",https://www.cnn.com/2022/04/15/politics/ukraine-russia-protracted-war-us-european-officials/index.html
2022-04-15,"April 14, 2022 Russia-Ukraine news",https://www.cnn.com/europe/live-news/ukraine-russia-putin-news-04-14-22/index.html
2022-04-14,"Russia seeks Brazil’s help to prevent expulsion from IMF, World Bank",https://www.cnn.com/2022/04/14/americas/russia-asks-brazil-support-imf-intl-latam/index.html
2022-04-14,US says three Russians offered congressman a free trip as part of a propaganda and disinformation campaign,https://www.cnn.com/2022/04/14/politics/us-lawmakers-russians-duma-propaganda/index.html
2022-04-14,Opinion: What form Putin’s revenge against the US could take,https://www.cnn.com/2022/04/14/opinions/putin-threat-american-elections-revenge-ukraine-ghitis/index.html
2022-04-14,Some Belarusians want to fight Russians in Ukraine. They also hope to free their country from Putin’s grip,https://www.cnn.com/2022/04/14/europe/belarus-ukraine-volunteers-intl/index.html
2022-04-14,"Russian military-linked hackers target Ukrainian power company, investigators say",https://www.cnn.com/2022/04/12/politics/gru-russia-hackers-ukraine-power-grid/index.html
2022-04-14,Opinion: Revoking trade with Russia will deliver a powerful blow to its economy,https://www.cnn.com/2022/04/14/perspectives/russia-trade-status-economy/index.html
2022-04-14,They tried to take a boat to safety. Then Russian rockets came raining down,https://www.cnn.com/2022/04/13/europe/ukraine-kherson-russia-boat-family-intl-cmd/index.html
2022-04-14,Opinion: Putin is shifting the goal posts. The West must too,https://www.cnn.com/2022/04/13/opinions/kyiv-ukraine-russia-brutality-west-bociurkiw/index.html
2022-04-14,What images of Russian trucks say about its military’s struggles in Ukraine,https://www.cnn.com/2022/04/14/europe/ukraine-war-russia-trucks-logistics-intl-hnk-ml/index.html
2022-04-13,Putin shrugs off setbacks despite Russia’s pariah status and heavy losses in Ukraine,https://www.cnn.com/2022/04/13/europe/putin-shrugs-off-setbacks-analysis-intl-cmd/index.html
2022-04-13,Yellen: Russia-Ukraine war is reshaping global economy,https://www.cnn.com/2022/04/13/economy/yellen-russian-ukraine-atlantic-council/index.html
2022-04-13,Austria’s Chancellor met with Putin to ‘confront’ him with atrocities he saw in Ukraine,https://www.cnn.com/2022/04/13/europe/nehammer-putin-meeting-connect-the-world-intl/index.html
2022-04-13,OSCE report finds ‘clear patterns’ of violations of international humanitarian law by Russian forces in Ukraine,https://www.cnn.com/2022/04/13/politics/osce-moscow-mechanism-report-ukraine-russia/index.html
2022-04-13,World’s top oil trader will stop buying Russian crude,https://www.cnn.com/2022/04/13/business/vitol-russian-oil/index.html
2022-04-13,Putin’s bullying backfires as Finland and Sweden edge closer to joining NATO,https://www.cnn.com/2022/04/12/europe/putin-finland-sweden-nato-backfire-cmd-intl/index.html
2022-04-13,Germany faces $240 billion hit if Russian gas is cut off,https://www.cnn.com/2022/04/13/economy/german-economy-russian-gas/index.html
